Latitude,Longitude,Elevation
47.82782000,-123.041360,779.0
47.82814000,-123.041680,787.0
47.82821000,-123.042020,785.0
47.82826000,-123.042500,790.0
47.82830000,-123.042950,797.0
47.82831000,-123.043260,800.0
47.82832000,-123.043410,801.0
47.82833000,-123.043810,801.0
47.82829000,-123.044090,798.0
47.82834000,-123.044190,800.0
47.82843000,-123.044350,804.0
47.82848000,-123.044670,809.0
47.82850000,-123.044880,813.0
47.82853000,-123.045210,817.0
47.82857000,-123.045280,820.0
47.82863000,-123.045410,823.0
47.82858000,-123.045600,822.0
47.82854000,-123.045660,821.0
47.82844000,-123.045710,818.0
47.82839000,-123.045870,818.0
47.82836000,-123.046050,820.0
47.82828000,-123.046240,821.0
47.82819000,-123.046480,821.0
47.82815000,-123.046630,822.0
47.82813000,-123.046840,823.0
47.82819000,-123.047090,826.0
47.82820000,-123.047470,827.0
47.82825000,-123.047590,830.0
47.82828000,-123.047960,831.0
47.82831000,-123.048110,832.0
47.82837000,-123.048560,833.0
47.82846000,-123.048760,837.0
47.82852000,-123.048930,839.0
47.82863000,-123.049550,843.0
47.82870000,-123.049730,847.0
47.82873000,-123.049860,847.0
47.82875000,-123.049980,847.0
47.82880000,-123.050430,849.0
47.82883000,-123.050610,851.0
47.82886000,-123.050990,855.0
47.82889000,-123.051240,859.0
47.82885000,-123.051780,862.0
47.82885000,-123.052250,867.0
47.82887000,-123.052450,871.0
47.82885000,-123.052600,872.0
47.82880000,-123.052730,872.0
47.82866000,-123.052960,868.0
47.82856000,-123.053170,866.0
47.82849000,-123.053400,866.0
47.82844000,-123.053650,867.0
47.82842000,-123.053950,869.0
47.82840000,-123.054100,869.0
47.82824000,-123.054520,871.0
47.82815000,-123.054840,873.0
47.82811000,-123.055050,874.0
47.82801000,-123.055420,876.0
47.82795000,-123.055680,876.0
47.82801000,-123.055800,880.0
47.82796000,-123.055970,881.0
47.82787000,-123.055930,877.0
47.82775000,-123.056020,875.0
47.82769000,-123.056140,876.0
47.82759000,-123.056240,878.0
47.82752000,-123.056400,880.0
47.82750000,-123.056510,880.0
47.82751000,-123.056680,882.0
47.82751000,-123.056960,884.0
47.82751000,-123.057200,887.0
47.82745000,-123.057290,889.0
47.82739000,-123.057570,895.0
47.82736000,-123.057780,899.0
47.82733000,-123.057930,901.0
47.82721000,-123.058100,901.0
47.82708000,-123.058320,903.0
47.82700000,-123.058520,905.0
47.82694000,-123.058820,906.0
47.82691000,-123.058970,907.0
47.82689000,-123.059330,908.0
47.82695000,-123.059900,911.0
47.82698000,-123.060460,913.0
47.82698000,-123.060760,911.0
47.82701000,-123.061170,913.0
47.82702000,-123.061310,914.0
47.82702000,-123.061690,919.0
47.82703000,-123.061810,921.0
47.82703000,-123.062060,925.0
47.82701000,-123.062420,929.0
47.82702000,-123.062660,929.0
47.82701000,-123.062860,929.0
47.82697000,-123.063050,928.0
47.82686000,-123.063520,931.0
47.82674000,-123.063820,934.0
47.82661000,-123.063980,935.0
47.82646000,-123.064120,935.0
47.82640000,-123.064310,936.0
47.82637000,-123.064670,941.0
47.82643000,-123.064840,943.0
47.82638000,-123.065220,944.0
47.82639000,-123.065530,948.0
47.82640000,-123.065720,952.0
47.82635000,-123.065960,955.0
47.82632000,-123.066090,957.0
47.82630000,-123.066360,959.0
47.82628000,-123.066540,961.0
47.82631000,-123.066750,963.0
47.82630000,-123.066940,965.0
47.82635000,-123.067210,967.0
47.82639000,-123.067470,970.0
47.82645000,-123.067730,976.0
47.82648000,-123.067860,979.0
47.82649000,-123.068020,981.0
47.82648000,-123.068310,984.0
47.82647000,-123.068560,983.0
47.82648000,-123.068730,981.0
47.82649000,-123.068860,979.0
47.82649000,-123.069220,979.0
47.82651000,-123.069430,981.0
47.82662000,-123.069750,987.0
47.82672000,-123.069970,989.0
47.82678000,-123.070050,990.0
47.82675000,-123.070280,989.0
47.82676000,-123.070460,987.0
